epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1006.38,0.45701,0.38754,0.88697,0.95608,0.94583,0.97017,0.89587,0.42474,0.34519,0.85748,0.000212094,0.000212094,0.000212094
43,1030.11,0.45676,0.38837,0.88464,0.96443,0.95942,0.974,0.89945,0.42065,0.3189,0.8579,0.000208559,0.000208559,0.000208559
44,1053.69,0.45291,0.38049,0.8851,0.95904,0.95526,0.97107,0.89826,0.41422,0.33598,0.8472,0.000205025,0.000205025,0.000205025
45,1077.27,0.44703,0.38041,0.88236,0.96119,0.95788,0.97299,0.90301,0.41403,0.32095,0.84491,0.000201491,0.000201491,0.000201491
46,1100.92,0.4529,0.37948,0.88538,0.96373,0.95525,0.97169,0.90027,0.41515,0.31632,0.85257,0.000197957,0.000197957,0.000197957
47,1124.57,0.44829,0.37143,0.88471,0.96431,0.96216,0.97267,0.90287,0.41827,0.31515,0.85242,0.000194422,0.000194422,0.000194422
48,1148.54,0.44468,0.37116,0.88438,0.95942,0.95851,0.96921,0.89901,0.40828,0.32,0.8441,0.000190888,0.000190888,0.000190888
49,1172.75,0.44001,0.36648,0.88344,0.96171,0.95289,0.96987,0.89994,0.41909,0.33477,0.85459,0.000187354,0.000187354,0.000187354
50,1197.1,0.44668,0.36884,0.8832,0.96522,0.95886,0.97418,0.90705,0.41214,0.3146,0.8478,0.000183819,0.000183819,0.000183819
51,1221.14,0.44314,0.36271,0.88169,0.96124,0.96338,0.97366,0.90994,0.40701,0.31184,0.84245,0.000180285,0.000180285,0.000180285
52,1245.39,0.43729,0.35629,0.88113,0.96347,0.95415,0.97292,0.90625,0.40689,0.3126,0.84182,0.000176751,0.000176751,0.000176751
53,1270.01,0.43842,0.35735,0.88238,0.95816,0.96195,0.97149,0.90758,0.40298,0.31233,0.84753,0.000173216,0.000173216,0.000173216
54,1294.38,0.437,0.35333,0.87822,0.96868,0.9629,0.97328,0.9072,0.40211,0.30963,0.84406,0.000169682,0.000169682,0.000169682
55,1318.18,0.4369,0.35238,0.87959,0.96486,0.96036,0.97311,0.90609,0.41056,0.30966,0.847,0.000166148,0.000166148,0.000166148
56,1342.26,0.44061,0.35348,0.8797,0.96659,0.96107,0.97172,0.9035,0.41076,0.31014,0.84925,0.000162613,0.000162613,0.000162613
57,1366.41,0.43342,0.35088,0.8782,0.96794,0.95517,0.97463,0.90716,0.40478,0.30612,0.84791,0.000159079,0.000159079,0.000159079
58,1391.12,0.43656,0.34966,0.88033,0.96977,0.95579,0.97186,0.9084,0.40382,0.31065,0.8445,0.000155545,0.000155545,0.000155545
59,1415.23,0.43486,0.34751,0.87976,0.96564,0.96065,0.97084,0.90633,0.40301,0.30927,0.84441,0.000152011,0.000152011,0.000152011
60,1439.65,0.42825,0.34189,0.87427,0.95635,0.96694,0.97347,0.90847,0.40655,0.31026,0.8532,0.000148476,0.000148476,0.000148476
61,1464.09,0.43091,0.34297,0.87573,0.96561,0.96203,0.97367,0.90923,0.40549,0.3032,0.8491,0.000144942,0.000144942,0.000144942
