epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4779,0.77648,4.13068,1.07515,0.08312,0.37252,0.18403,0.16711,0.63497,3.65948,0.99557,0.000125543,0.000125543,0.000125543
2,48.6668,0.75119,2.89265,1.03778,0.66866,0.40446,0.56331,0.47844,0.70918,2.28475,1.02852,0.000251363,0.000251363,0.000251363
3,71.5557,0.71794,1.73502,1.02488,0.76435,0.70779,0.77144,0.64372,0.66558,1.14261,1.00751,0.000374642,0.000374642,0.000374642
4,94.4642,0.67904,1.28985,0.99743,0.80763,0.57182,0.68801,0.56384,0.70026,1.48653,1.04793,0.000373565,0.000373565,0.000373565
5,117.448,0.64999,1.11536,0.98261,0.78341,0.7058,0.79935,0.6636,0.65298,1.02717,1.01141,0.000369754,0.000369754,0.000369754
6,140.494,0.63161,0.98966,0.97211,0.82137,0.69584,0.78717,0.65212,0.67287,1.1999,1.02042,0.000365942,0.000365942,0.000365942
7,163.19,0.61712,0.92618,0.95925,0.8996,0.75638,0.84901,0.72749,0.58715,0.79163,0.96283,0.000362131,0.000362131,0.000362131
8,185.727,0.59297,0.83609,0.95169,0.91,0.83512,0.89978,0.77182,0.56551,0.58825,0.94842,0.000358319,0.000358319,0.000358319
9,208.37,0.58889,0.79426,0.94548,0.90731,0.84986,0.90313,0.77905,0.55249,0.54488,0.93595,0.000354508,0.000354508,0.000354508
10,231.012,0.57707,0.75194,0.9439,0.93375,0.83542,0.90763,0.78002,0.54905,0.56984,0.93846,0.000350697,0.000350697,0.000350697
11,253.526,0.57343,0.71157,0.93718,0.91254,0.86018,0.90945,0.79993,0.52579,0.53377,0.92021,0.000346885,0.000346885,0.000346885
12,276.057,0.55516,0.66433,0.929,0.91879,0.82624,0.89693,0.76822,0.55457,0.60251,0.9396,0.000343074,0.000343074,0.000343074
13,298.644,0.55901,0.64993,0.93246,0.90063,0.87273,0.91043,0.79481,0.51661,0.508,0.91495,0.000339262,0.000339262,0.000339262
14,321.397,0.55238,0.61582,0.92879,0.92038,0.86241,0.91279,0.80129,0.51497,0.47942,0.91626,0.00033545,0.00033545,0.00033545
15,343.967,0.55162,0.6081,0.92957,0.92491,0.8719,0.90886,0.80073,0.5227,0.49007,0.9079,0.000331639,0.000331639,0.000331639
16,366.477,0.54609,0.58606,0.92663,0.9302,0.88217,0.91762,0.80642,0.52121,0.47177,0.91035,0.000327827,0.000327827,0.000327827
17,388.999,0.53481,0.55361,0.92162,0.95123,0.88403,0.92567,0.82063,0.49505,0.41837,0.89687,0.000324016,0.000324016,0.000324016
18,411.532,0.53585,0.54662,0.92521,0.9504,0.88155,0.92308,0.81669,0.49336,0.43447,0.8997,0.000320204,0.000320204,0.000320204
19,434.258,0.53013,0.53059,0.91912,0.92337,0.85928,0.91355,0.81166,0.50162,0.46162,0.90578,0.000316393,0.000316393,0.000316393
20,456.749,0.52671,0.52127,0.91543,0.9624,0.87386,0.92722,0.82581,0.49745,0.3953,0.90465,0.000312581,0.000312581,0.000312581
21,479.325,0.51885,0.51244,0.91853,0.92687,0.87763,0.91455,0.81643,0.48737,0.45631,0.89833,0.00030877,0.00030877,0.00030877
22,501.776,0.51952,0.49787,0.91415,0.945,0.89297,0.92699,0.82774,0.47465,0.39677,0.89359,0.000304958,0.000304958,0.000304958
23,524.273,0.51613,0.49787,0.91325,0.92371,0.88623,0.91918,0.82475,0.48529,0.4272,0.89299,0.000301147,0.000301147,0.000301147
24,546.798,0.51357,0.48682,0.91094,0.94116,0.89371,0.92709,0.82965,0.47458,0.39972,0.89321,0.000297335,0.000297335,0.000297335
25,569.3,0.51941,0.48497,0.9149,0.95227,0.90253,0.92884,0.83444,0.4793,0.37693,0.89432,0.000293524,0.000293524,0.000293524
26,591.739,0.50962,0.47269,0.90997,0.94625,0.89133,0.92559,0.83273,0.4755,0.3849,0.89185,0.000289712,0.000289712,0.000289712
27,614.317,0.50133,0.45805,0.90601,0.9455,0.89256,0.92482,0.83072,0.47809,0.3742,0.89063,0.000285901,0.000285901,0.000285901
28,636.733,0.50748,0.45635,0.91139,0.9585,0.8996,0.93067,0.83645,0.46731,0.36174,0.88988,0.000282089,0.000282089,0.000282089
29,659.311,0.5114,0.46099,0.91236,0.93801,0.90342,0.93371,0.84189,0.46286,0.36842,0.88723,0.000278278,0.000278278,0.000278278
30,681.894,0.50143,0.44927,0.90826,0.96135,0.89367,0.93205,0.84413,0.45995,0.35117,0.88529,0.000274466,0.000274466,0.000274466
31,704.363,0.494,0.43819,0.90493,0.95789,0.89973,0.93425,0.84592,0.46566,0.35419,0.89632,0.000270655,0.000270655,0.000270655
32,726.973,0.50188,0.44098,0.90709,0.95851,0.91049,0.93863,0.84331,0.46877,0.34577,0.89472,0.000266843,0.000266843,0.000266843
33,749.518,0.49282,0.43105,0.90381,0.95561,0.89699,0.93359,0.84779,0.45369,0.36205,0.88354,0.000263032,0.000263032,0.000263032
34,772.023,0.49105,0.42974,0.90211,0.94857,0.90901,0.93448,0.84694,0.44708,0.34419,0.878,0.00025922,0.00025922,0.00025922
35,794.605,0.48454,0.42228,0.9027,0.9546,0.91428,0.93599,0.84749,0.45082,0.3322,0.8838,0.000255409,0.000255409,0.000255409
36,817.255,0.49139,0.42625,0.90192,0.96276,0.91084,0.93744,0.85399,0.44242,0.31376,0.87067,0.000251597,0.000251597,0.000251597
37,839.693,0.48203,0.41258,0.89892,0.9639,0.91008,0.9381,0.8497,0.44637,0.32248,0.87659,0.000247786,0.000247786,0.000247786
38,862.287,0.47846,0.41346,0.89899,0.94246,0.91711,0.93157,0.83987,0.45841,0.33208,0.88538,0.000243974,0.000243974,0.000243974
39,884.738,0.47975,0.40754,0.89925,0.96278,0.90297,0.93861,0.85162,0.45681,0.33349,0.88597,0.000240163,0.000240163,0.000240163
40,907.256,0.47952,0.40899,0.89994,0.95832,0.90845,0.93605,0.85145,0.44682,0.32903,0.87981,0.000236351,0.000236351,0.000236351
41,930.249,0.47561,0.39626,0.89931,0.94622,0.91595,0.93713,0.8556,0.43357,0.32089,0.86859,0.00023254,0.00023254,0.00023254
42,953.506,0.47443,0.39338,0.89569,0.95498,0.91325,0.93726,0.85675,0.43171,0.31459,0.87211,0.000228729,0.000228729,0.000228729
43,976.059,0.47565,0.39671,0.894,0.95722,0.91302,0.93842,0.85303,0.43679,0.31517,0.8723,0.000224917,0.000224917,0.000224917
44,998.627,0.46723,0.39133,0.89215,0.95915,0.90822,0.93704,0.85609,0.43433,0.31566,0.87382,0.000221106,0.000221106,0.000221106
45,1021.14,0.47145,0.39093,0.89815,0.96178,0.91233,0.93662,0.85539,0.43617,0.30996,0.87471,0.000217294,0.000217294,0.000217294
46,1043.69,0.46623,0.38829,0.89307,0.963,0.89956,0.93478,0.8534,0.45596,0.3294,0.88185,0.000213482,0.000213482,0.000213482
47,1066.2,0.46343,0.38105,0.89394,0.9624,0.90882,0.93631,0.8602,0.42929,0.30604,0.87333,0.000209671,0.000209671,0.000209671
48,1088.83,0.46038,0.37731,0.8936,0.96533,0.91204,0.93658,0.86233,0.42829,0.30683,0.8768,0.00020586,0.00020586,0.00020586
49,1111.36,0.45497,0.37284,0.88884,0.96175,0.9148,0.93689,0.85843,0.4412,0.30408,0.88035,0.000202048,0.000202048,0.000202048
50,1133.9,0.45898,0.37317,0.89071,0.964,0.9133,0.93913,0.86726,0.4201,0.29852,0.86496,0.000198236,0.000198236,0.000198236
51,1156.4,0.45494,0.36745,0.88884,0.96007,0.90598,0.93877,0.86519,0.43131,0.30824,0.87286,0.000194425,0.000194425,0.000194425
52,1178.99,0.45752,0.36932,0.89089,0.95013,0.91639,0.93749,0.85868,0.44628,0.30809,0.87908,0.000190613,0.000190613,0.000190613
53,1201.49,0.45557,0.36733,0.88938,0.9636,0.91652,0.93982,0.86535,0.43436,0.30219,0.87313,0.000186802,0.000186802,0.000186802
54,1223.94,0.45926,0.37219,0.8922,0.95445,0.91876,0.94049,0.86234,0.42839,0.29531,0.87008,0.00018299,0.00018299,0.00018299
55,1246.47,0.44989,0.36193,0.88955,0.95987,0.91585,0.94187,0.86819,0.42777,0.29601,0.87098,0.000179179,0.000179179,0.000179179
56,1269.18,0.45101,0.36257,0.88918,0.958,0.92068,0.93965,0.86597,0.42822,0.29329,0.87044,0.000175367,0.000175367,0.000175367
57,1291.69,0.45003,0.3574,0.88651,0.96112,0.91941,0.943,0.86907,0.43233,0.29295,0.87219,0.000171556,0.000171556,0.000171556
58,1314.2,0.45329,0.35762,0.88979,0.96846,0.91417,0.94116,0.86622,0.42037,0.29392,0.86721,0.000167745,0.000167745,0.000167745
59,1336.7,0.44624,0.35316,0.88664,0.96723,0.91525,0.94054,0.86547,0.42467,0.29212,0.86851,0.000163933,0.000163933,0.000163933
60,1359.12,0.44419,0.35022,0.88327,0.96899,0.91267,0.94037,0.86705,0.42266,0.29681,0.86879,0.000160122,0.000160122,0.000160122
61,1381.63,0.44336,0.34617,0.88772,0.96196,0.91656,0.94445,0.87311,0.42028,0.28738,0.86778,0.00015631,0.00015631,0.00015631
62,1404.05,0.44415,0.34709,0.88328,0.96986,0.91536,0.94177,0.87024,0.42819,0.28561,0.87127,0.000152498,0.000152498,0.000152498
63,1426.59,0.43961,0.34422,0.88278,0.95027,0.92061,0.94097,0.87088,0.42802,0.29047,0.87313,0.000148687,0.000148687,0.000148687
64,1449.13,0.43796,0.33922,0.88435,0.968,0.91924,0.94296,0.8738,0.41282,0.27912,0.86498,0.000144875,0.000144875,0.000144875
65,1471.6,0.44241,0.34198,0.88557,0.96693,0.91895,0.94336,0.87076,0.42317,0.28768,0.87057,0.000141064,0.000141064,0.000141064
66,1494.07,0.43793,0.34378,0.88266,0.96067,0.92272,0.94346,0.87123,0.42042,0.28366,0.86692,0.000137252,0.000137252,0.000137252
67,1516.54,0.43076,0.33616,0.88041,0.96562,0.92007,0.9427,0.87522,0.41047,0.28112,0.8638,0.000133441,0.000133441,0.000133441
68,1539.1,0.42905,0.33346,0.87598,0.96928,0.91855,0.94044,0.8738,0.40885,0.278,0.86358,0.000129629,0.000129629,0.000129629
69,1561.64,0.43476,0.3375,0.8827,0.96936,0.91957,0.94151,0.87434,0.41298,0.27628,0.86513,0.000125818,0.000125818,0.000125818
70,1584.12,0.43134,0.33166,0.88044,0.96048,0.92566,0.94367,0.87649,0.40739,0.27163,0.86158,0.000122007,0.000122007,0.000122007
71,1606.65,0.4236,0.32674,0.87812,0.95797,0.92309,0.9441,0.87886,0.40901,0.27474,0.86083,0.000118195,0.000118195,0.000118195
72,1629.1,0.42719,0.32942,0.87902,0.96276,0.9178,0.94397,0.87726,0.40797,0.27801,0.8642,0.000114384,0.000114384,0.000114384
73,1651.71,0.43749,0.33366,0.88149,0.96641,0.91521,0.94365,0.87655,0.42005,0.28468,0.86889,0.000110572,0.000110572,0.000110572
74,1674.54,0.42388,0.32434,0.87815,0.9593,0.92243,0.94266,0.87742,0.40698,0.27383,0.86214,0.000106761,0.000106761,0.000106761
75,1697.21,0.42361,0.32337,0.87797,0.9637,0.91809,0.94257,0.8765,0.40996,0.26795,0.86204,0.000102949,0.000102949,0.000102949
