epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.733,0.76468,4.21948,1.07285,0.08521,0.3293,0.15389,0.13965,0.61575,3.70805,0.97748,0.000116098,0.000116098,0.000116098
2,52.9958,0.73085,3.04839,1.03646,0.79562,0.3396,0.51997,0.44399,0.6631,2.32666,0.99508,0.00023277,0.00023277,0.00023277
3,77.5732,0.7015,1.83729,1.02688,0.75939,0.61223,0.70862,0.60247,0.65414,1.58699,1.00483,0.000347086,0.000347086,0.000347086
4,103.557,0.66657,1.34601,0.99665,0.7752,0.64784,0.76344,0.64211,0.62313,1.3948,0.97857,0.000346397,0.000346397,0.000346397
5,127.72,0.62877,1.14213,0.97155,0.87817,0.72123,0.84103,0.71841,0.601,0.88518,0.96287,0.000342863,0.000342863,0.000342863
6,152.69,0.61171,1.03352,0.96564,0.86911,0.76337,0.85287,0.71501,0.61145,0.84464,0.96536,0.000339329,0.000339329,0.000339329
7,176.72,0.59014,0.93975,0.95068,0.866,0.836,0.89655,0.76497,0.56972,0.80506,0.9405,0.000335794,0.000335794,0.000335794
8,201.768,0.58447,0.87362,0.94553,0.91549,0.81492,0.89464,0.77776,0.5555,0.69459,0.9234,0.00033226,0.00033226,0.00033226
9,227.39,0.57414,0.82754,0.93995,0.90551,0.83709,0.90057,0.79171,0.52428,0.67568,0.90384,0.000328726,0.000328726,0.000328726
10,252.059,0.5639,0.78322,0.93162,0.8725,0.85725,0.89866,0.78476,0.51796,0.6244,0.91451,0.000325191,0.000325191,0.000325191
11,276.95,0.54848,0.73403,0.92649,0.91765,0.85866,0.91168,0.80559,0.50708,0.61347,0.89153,0.000321657,0.000321657,0.000321657
12,301.194,0.54809,0.69674,0.926,0.9457,0.87396,0.92147,0.81912,0.49796,0.52401,0.89148,0.000318123,0.000318123,0.000318123
13,325.31,0.543,0.66745,0.92609,0.90796,0.85299,0.90761,0.80373,0.50719,0.54168,0.89427,0.000314588,0.000314588,0.000314588
14,349.493,0.53572,0.6307,0.92027,0.9322,0.89081,0.92374,0.82565,0.48486,0.45662,0.8781,0.000311054,0.000311054,0.000311054
15,373.515,0.53075,0.61698,0.91701,0.9438,0.87017,0.92047,0.82234,0.47996,0.48575,0.87738,0.00030752,0.00030752,0.00030752
16,397.541,0.52462,0.59378,0.91481,0.94316,0.90091,0.93209,0.83189,0.47777,0.44623,0.87917,0.000303986,0.000303986,0.000303986
17,421.497,0.52755,0.57975,0.91695,0.92706,0.87974,0.92175,0.82386,0.48949,0.48402,0.88809,0.000300451,0.000300451,0.000300451
18,446.262,0.51497,0.559,0.90989,0.93211,0.87613,0.92305,0.81935,0.49117,0.4907,0.88507,0.000296917,0.000296917,0.000296917
19,473.252,0.51616,0.54781,0.91276,0.94206,0.90456,0.93616,0.84399,0.44908,0.38955,0.86673,0.000293383,0.000293383,0.000293383
20,498.84,0.51603,0.53053,0.9122,0.95948,0.88895,0.93332,0.83914,0.44614,0.38704,0.86241,0.000289848,0.000289848,0.000289848
21,523.216,0.50899,0.51842,0.91209,0.95427,0.89373,0.93609,0.8369,0.46391,0.40959,0.8757,0.000286314,0.000286314,0.000286314
22,547.786,0.51072,0.51071,0.90792,0.93319,0.90791,0.93664,0.84374,0.44536,0.38105,0.85958,0.00028278,0.00028278,0.00028278
23,572.523,0.50727,0.49826,0.90907,0.95856,0.90217,0.93583,0.84727,0.44844,0.37633,0.86488,0.000279245,0.000279245,0.000279245
24,596.995,0.49934,0.48921,0.90276,0.94889,0.88695,0.92942,0.83802,0.45823,0.42695,0.87746,0.000275711,0.000275711,0.000275711
25,621.723,0.49361,0.47919,0.90204,0.94827,0.90299,0.93392,0.84392,0.44724,0.39278,0.865,0.000272177,0.000272177,0.000272177
26,646.499,0.48934,0.46895,0.90186,0.9602,0.89767,0.93565,0.8492,0.4422,0.36497,0.85973,0.000268642,0.000268642,0.000268642
27,670.801,0.492,0.46709,0.90437,0.95592,0.90519,0.93818,0.85289,0.44689,0.36011,0.86353,0.000265108,0.000265108,0.000265108
28,695.035,0.48711,0.45395,0.89972,0.967,0.90015,0.93748,0.85139,0.44338,0.36844,0.86194,0.000261574,0.000261574,0.000261574
29,719.006,0.48955,0.45412,0.89898,0.96291,0.91158,0.94043,0.85175,0.44544,0.34926,0.86752,0.00025804,0.00025804,0.00025804
30,742.847,0.48567,0.44133,0.89826,0.95128,0.90998,0.93883,0.85183,0.44165,0.35176,0.85888,0.000254505,0.000254505,0.000254505
31,767.72,0.48722,0.44105,0.89999,0.97283,0.90191,0.93915,0.85841,0.43164,0.33785,0.85276,0.000250971,0.000250971,0.000250971
32,795.025,0.4811,0.43025,0.89576,0.95953,0.91605,0.93805,0.85633,0.42744,0.34846,0.85434,0.000247437,0.000247437,0.000247437
33,820.342,0.48053,0.43246,0.89557,0.95725,0.90786,0.93339,0.85414,0.43772,0.35334,0.86201,0.000243902,0.000243902,0.000243902
34,846.535,0.48017,0.42958,0.89703,0.94617,0.92047,0.93923,0.86057,0.42669,0.32611,0.85395,0.000240368,0.000240368,0.000240368
35,871.419,0.47505,0.42248,0.89396,0.95178,0.90901,0.93914,0.84928,0.44458,0.35083,0.86562,0.000236834,0.000236834,0.000236834
36,897.978,0.46848,0.41521,0.89427,0.9608,0.91202,0.9409,0.86308,0.43318,0.37523,0.85877,0.000233299,0.000233299,0.000233299
37,921.856,0.47194,0.41426,0.89231,0.96439,0.91798,0.9415,0.8621,0.42749,0.32232,0.85361,0.000229765,0.000229765,0.000229765
38,945.818,0.46359,0.4051,0.89128,0.96187,0.9039,0.93894,0.85697,0.44055,0.34315,0.86241,0.000226231,0.000226231,0.000226231
39,972.459,0.46406,0.40262,0.89114,0.96938,0.91176,0.94119,0.86162,0.41972,0.32318,0.85227,0.000222697,0.000222697,0.000222697
40,997.148,0.46673,0.40567,0.89148,0.96613,0.92026,0.9458,0.86484,0.42163,0.32,0.85473,0.000219162,0.000219162,0.000219162
41,1021.42,0.4645,0.39493,0.89013,0.96633,0.91206,0.94051,0.86057,0.42839,0.33831,0.85673,0.000215628,0.000215628,0.000215628
42,1045.77,0.46017,0.39337,0.88981,0.95839,0.91459,0.94114,0.86352,0.42562,0.33003,0.85474,0.000212094,0.000212094,0.000212094
43,1070.02,0.46341,0.3946,0.8879,0.96313,0.90765,0.93915,0.85907,0.43453,0.34372,0.86437,0.000208559,0.000208559,0.000208559
44,1094.06,0.46083,0.3922,0.89097,0.95672,0.90732,0.93602,0.8592,0.42594,0.33352,0.8528,0.000205025,0.000205025,0.000205025
45,1118.37,0.45383,0.38764,0.88587,0.96271,0.91815,0.94073,0.86359,0.41992,0.32361,0.85288,0.000201491,0.000201491,0.000201491
46,1142.59,0.46211,0.38812,0.88938,0.96322,0.92303,0.94082,0.8658,0.41649,0.31102,0.85475,0.000197957,0.000197957,0.000197957
47,1166.44,0.45338,0.37986,0.88744,0.97038,0.90977,0.94017,0.86437,0.42132,0.31365,0.85242,0.000194422,0.000194422,0.000194422
48,1190.63,0.4504,0.37875,0.88693,0.96173,0.91909,0.94289,0.86919,0.41756,0.30806,0.85316,0.000190888,0.000190888,0.000190888
49,1214.89,0.44696,0.37489,0.88835,0.95934,0.91849,0.9409,0.86283,0.41951,0.31382,0.85529,0.000187354,0.000187354,0.000187354
50,1238.93,0.44926,0.37553,0.885,0.9691,0.91735,0.94087,0.87169,0.41256,0.30298,0.84836,0.000183819,0.000183819,0.000183819
51,1263.89,0.44537,0.36941,0.8844,0.9697,0.91861,0.94157,0.86891,0.41326,0.30268,0.85216,0.000180285,0.000180285,0.000180285
52,1288.28,0.44508,0.36528,0.88469,0.96237,0.91551,0.94177,0.87226,0.41689,0.30446,0.85136,0.000176751,0.000176751,0.000176751
53,1312.51,0.44312,0.36784,0.88529,0.95842,0.92204,0.94584,0.87468,0.40857,0.30707,0.85021,0.000173216,0.000173216,0.000173216
54,1337.09,0.44587,0.36416,0.8829,0.96905,0.92285,0.9423,0.87186,0.40895,0.29979,0.85191,0.000169682,0.000169682,0.000169682
55,1362.18,0.44345,0.36048,0.88346,0.96396,0.92431,0.94549,0.87399,0.41454,0.29682,0.85237,0.000166148,0.000166148,0.000166148
56,1386.97,0.44594,0.36251,0.88377,0.96693,0.91749,0.94253,0.86995,0.41801,0.29714,0.85366,0.000162613,0.000162613,0.000162613
57,1411.64,0.43848,0.35697,0.88188,0.96344,0.9183,0.94402,0.87367,0.40937,0.29697,0.85492,0.000159079,0.000159079,0.000159079
58,1435.69,0.44252,0.35675,0.8825,0.96709,0.91998,0.94261,0.87285,0.40362,0.29427,0.85035,0.000155545,0.000155545,0.000155545
59,1460.09,0.43937,0.35565,0.88273,0.96657,0.92328,0.94414,0.87537,0.40437,0.28702,0.85038,0.000152011,0.000152011,0.000152011
