epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2679,0.7851,2.64581,4.11778,1.07497,0.09222,0.33081,0.15635,0.14344,0.08946,0.32588,0.15439,0.13726,0.6643,2.75117,3.72129,1.05887,0.000126359,0.000126359,0.000126359
2,87.8176,0.74103,2.06997,2.60807,1.02329,0.65465,0.55298,0.62804,0.52654,0.64803,0.54304,0.60748,0.49066,0.72327,2.22332,1.61809,1.07808,0.000252171,0.000252171,0.000252171
3,130.593,0.71783,2.00352,1.54866,1.00847,0.76908,0.6029,0.71933,0.5941,0.75746,0.58585,0.69033,0.51648,0.72569,2.48782,1.59951,1.07154,0.000375442,0.000375442,0.000375442
4,171.899,0.69233,1.91343,1.26222,0.99485,0.77888,0.67516,0.75102,0.62039,0.74284,0.64687,0.7067,0.55415,0.69473,2.25842,1.31945,1.0381,0.000373565,0.000373565,0.000373565
5,213.658,0.66981,1.92121,1.07392,0.98393,0.88776,0.77915,0.84596,0.70197,0.8764,0.76634,0.81999,0.64772,0.65837,2.04477,0.86218,1.02309,0.000369754,0.000369754,0.000369754
6,253.452,0.64462,1.83542,0.96284,0.97167,0.86291,0.78929,0.86642,0.73517,0.86012,0.76527,0.84803,0.68516,0.60772,1.89521,0.91678,0.98697,0.000365942,0.000365942,0.000365942
7,293.215,0.63078,1.83067,0.88671,0.965,0.87265,0.79314,0.86947,0.74039,0.85612,0.77817,0.84151,0.6849,0.60186,1.93548,0.74248,0.98769,0.000362131,0.000362131,0.000362131
8,333.077,0.61122,1.74668,0.81053,0.95429,0.90477,0.83284,0.90387,0.7786,0.88628,0.81823,0.87841,0.72583,0.57021,1.80889,0.60162,0.96027,0.000358319,0.000358319,0.000358319
9,373.222,0.60599,1.735,0.76386,0.95074,0.85587,0.77321,0.87645,0.7543,0.84687,0.76171,0.85727,0.71373,0.5751,2.05914,0.8189,0.95641,0.000354508,0.000354508,0.000354508
10,413.15,0.59549,1.68531,0.7164,0.94657,0.93128,0.84412,0.91368,0.78804,0.91689,0.83248,0.88823,0.74148,0.56235,1.76019,0.52932,0.95481,0.000350697,0.000350697,0.000350697
