epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1381.37,0.49727,0.95179,0.43504,0.89843,0.95463,0.94995,0.97066,0.88717,0.94794,0.93936,0.95834,0.85221,0.44576,1.05688,0.37792,0.86591,0.000254505,0.000254505,0.000254505
31,1430.25,0.4943,0.95367,0.43276,0.8994,0.95908,0.94965,0.97261,0.89534,0.95684,0.94534,0.96363,0.86365,0.43276,1.01114,0.35831,0.86219,0.000250971,0.000250971,0.000250971
32,1476.91,0.49575,0.95061,0.42602,0.89634,0.94732,0.9553,0.97037,0.89095,0.94124,0.9485,0.96138,0.85849,0.43985,1.0076,0.36144,0.86511,0.000247437,0.000247437,0.000247437
33,1526.22,0.49331,0.95001,0.42657,0.89621,0.95654,0.95161,0.97371,0.8915,0.95338,0.94694,0.96475,0.86213,0.44121,0.99869,0.35299,0.86681,0.000243902,0.000243902,0.000243902
34,1575.64,0.48665,0.92385,0.41692,0.89246,0.95348,0.95188,0.96526,0.89081,0.95327,0.94603,0.95549,0.86183,0.43997,0.98349,0.36534,0.87005,0.000240368,0.000240368,0.000240368
35,1622.89,0.48884,0.92138,0.41733,0.89892,0.95128,0.9574,0.96995,0.89001,0.94461,0.95197,0.95955,0.86128,0.43739,0.98855,0.36018,0.86437,0.000236834,0.000236834,0.000236834
36,1671.01,0.48311,0.90794,0.41646,0.89252,0.94678,0.95716,0.97211,0.88941,0.94639,0.95169,0.96689,0.85951,0.44359,0.96608,0.35494,0.86612,0.000233299,0.000233299,0.000233299
37,1720.6,0.47697,0.89597,0.40661,0.89059,0.94885,0.9516,0.96759,0.89374,0.94618,0.94494,0.9617,0.86121,0.43862,1.00632,0.36125,0.86776,0.000229765,0.000229765,0.000229765
38,1770.02,0.47514,0.90713,0.39715,0.89004,0.95854,0.93737,0.96945,0.89155,0.95326,0.93194,0.9595,0.85892,0.43205,1.01854,0.36627,0.86142,0.000226231,0.000226231,0.000226231
39,1818.6,0.47591,0.88773,0.39877,0.89092,0.95398,0.95861,0.97097,0.89636,0.95319,0.95598,0.96514,0.86642,0.43428,1.01484,0.33803,0.86642,0.000222697,0.000222697,0.000222697
40,1867.08,0.47524,0.91355,0.39826,0.89044,0.96168,0.96014,0.97463,0.89667,0.9586,0.9558,0.96808,0.8715,0.42654,0.95729,0.33217,0.85859,0.000219162,0.000219162,0.000219162
41,1914.01,0.46903,0.89122,0.39367,0.88904,0.95522,0.95443,0.97253,0.89809,0.95673,0.95087,0.96764,0.86982,0.43056,0.97626,0.33878,0.86015,0.000215628,0.000215628,0.000215628
42,1960.85,0.47024,0.89051,0.39036,0.89006,0.95319,0.95806,0.97055,0.89145,0.94739,0.95108,0.96277,0.85583,0.43678,0.98733,0.35229,0.8655,0.000212094,0.000212094,0.000212094
43,2009.91,0.47141,0.89844,0.39057,0.889,0.96392,0.95361,0.97429,0.9048,0.96212,0.94445,0.96584,0.87133,0.4194,0.91966,0.32798,0.85504,0.000208559,0.000208559,0.000208559
44,2057.43,0.46339,0.85995,0.38731,0.8848,0.95697,0.96157,0.97247,0.90046,0.95735,0.95547,0.96706,0.87458,0.42128,0.97121,0.32844,0.86221,0.000205025,0.000205025,0.000205025
45,2102.81,0.46416,0.87974,0.38193,0.8845,0.96358,0.96436,0.9769,0.90761,0.96049,0.959,0.97009,0.88352,0.4172,0.90015,0.31753,0.85328,0.000201491,0.000201491,0.000201491
46,2151,0.46895,0.8965,0.38506,0.88827,0.96484,0.95953,0.97591,0.90368,0.96122,0.95586,0.96907,0.87879,0.41833,0.9807,0.33466,0.85564,0.000197957,0.000197957,0.000197957
47,2199.98,0.46203,0.87842,0.37345,0.88654,0.96057,0.96094,0.97437,0.9048,0.95815,0.95896,0.96935,0.87791,0.41548,0.94901,0.32155,0.8517,0.000194422,0.000194422,0.000194422
48,2248.82,0.46484,0.88563,0.37925,0.88439,0.96616,0.96039,0.97441,0.90816,0.96322,0.95785,0.96993,0.8769,0.41721,0.91012,0.3208,0.852,0.000190888,0.000190888,0.000190888
49,2296.42,0.45739,0.84258,0.37169,0.88397,0.96,0.96625,0.97529,0.91242,0.95456,0.96124,0.96653,0.87843,0.4104,0.96905,0.31906,0.84959,0.000187354,0.000187354,0.000187354
50,2346.93,0.45741,0.84847,0.3714,0.88334,0.96122,0.96164,0.97598,0.90811,0.9575,0.95788,0.97062,0.87909,0.406,0.95838,0.31631,0.8497,0.000183819,0.000183819,0.000183819
51,2394.96,0.46276,0.85846,0.37404,0.88443,0.96481,0.96566,0.9739,0.90804,0.96209,0.96119,0.96727,0.88084,0.41,0.93897,0.31418,0.85221,0.000180285,0.000180285,0.000180285
52,2444.96,0.45154,0.84344,0.36307,0.88103,0.96271,0.96341,0.97557,0.90734,0.95966,0.96056,0.97001,0.8797,0.40945,0.95557,0.31378,0.85149,0.000176751,0.000176751,0.000176751
53,2494.45,0.45371,0.84305,0.36452,0.881,0.96604,0.96283,0.97585,0.90988,0.9634,0.95855,0.96912,0.88056,0.40599,0.94397,0.30994,0.85223,0.000173216,0.000173216,0.000173216
54,2544.19,0.44851,0.84205,0.36121,0.88059,0.96989,0.95714,0.97456,0.9098,0.96838,0.95594,0.96991,0.88244,0.40614,0.95227,0.31235,0.85112,0.000169682,0.000169682,0.000169682
55,2595.4,0.45183,0.84128,0.36147,0.88152,0.96599,0.96182,0.97597,0.91011,0.96508,0.95977,0.96997,0.88344,0.40337,0.93821,0.30935,0.84973,0.000166148,0.000166148,0.000166148
56,2644.66,0.44607,0.83107,0.35488,0.87837,0.9636,0.96606,0.97714,0.90849,0.96487,0.95908,0.97073,0.88205,0.40543,0.92863,0.30821,0.8485,0.000162613,0.000162613,0.000162613
57,2693.64,0.44173,0.84082,0.34954,0.87786,0.96042,0.96143,0.97533,0.90836,0.9593,0.95897,0.96895,0.88243,0.40714,0.94333,0.31276,0.85221,0.000159079,0.000159079,0.000159079
58,2742.94,0.44405,0.81821,0.35123,0.87836,0.95825,0.96774,0.97506,0.91049,0.96516,0.95748,0.96942,0.88578,0.40226,0.93735,0.3063,0.84821,0.000155545,0.000155545,0.000155545
