epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1682.3,0.54362,1.50583,0.50285,0.92471,0.95181,0.87675,0.91968,0.82929,0.94547,0.86701,0.90349,0.78477,0.46777,1.33865,0.38989,0.88518,0.000274466,0.000274466,0.000274466
31,1728.45,0.53078,1.52337,0.48955,0.9195,0.94569,0.88218,0.91596,0.82771,0.95056,0.87245,0.90615,0.78885,0.4664,1.28731,0.38552,0.88366,0.000270655,0.000270655,0.000270655
32,1774.17,0.52685,1.55554,0.48141,0.91595,0.95151,0.88624,0.91693,0.82978,0.94742,0.88402,0.90573,0.78712,0.46986,1.34345,0.38313,0.89191,0.000266843,0.000266843,0.000266843
33,1820.59,0.53412,1.52137,0.48568,0.92571,0.95625,0.88126,0.92296,0.83364,0.9518,0.87763,0.91058,0.79195,0.46134,1.2723,0.36597,0.87977,0.000263032,0.000263032,0.000263032
34,1866.61,0.52593,1.53799,0.48139,0.91959,0.94649,0.8851,0.92213,0.83285,0.9376,0.87922,0.90793,0.78677,0.4642,1.30862,0.38667,0.8851,0.00025922,0.00025922,0.00025922
35,1912.5,0.51639,1.45513,0.46788,0.91616,0.94911,0.89682,0.92692,0.83894,0.94268,0.89217,0.91458,0.79639,0.46003,1.26216,0.35619,0.88071,0.000255409,0.000255409,0.000255409
36,1958.81,0.53036,1.52179,0.4727,0.9188,0.95493,0.88588,0.92048,0.82911,0.94422,0.8758,0.90301,0.78396,0.4682,1.32626,0.36723,0.88538,0.000251597,0.000251597,0.000251597
37,2004.9,0.52006,1.49456,0.46942,0.91581,0.95428,0.89372,0.92526,0.84052,0.94718,0.88799,0.91153,0.79548,0.44773,1.27002,0.34717,0.87462,0.000247786,0.000247786,0.000247786
38,2050.8,0.51598,1.46418,0.45978,0.91464,0.94665,0.88933,0.91865,0.83371,0.94594,0.88295,0.90711,0.79274,0.45186,1.26876,0.36739,0.87528,0.000243974,0.000243974,0.000243974
39,2096.77,0.51498,1.46697,0.45117,0.91198,0.95189,0.88465,0.92328,0.83686,0.94542,0.87956,0.91112,0.79409,0.45052,1.26247,0.35916,0.87594,0.000240163,0.000240163,0.000240163
