epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4649,0.79949,2.4998,3.73697,1.07607,0.60097,0.375,0.42231,0.35975,0.5914,0.36761,0.40834,0.335,0.69107,1.78272,1.98411,1.0259,0.000127963,0.000127963,0.000127963
2,259.413,0.74031,2.04689,2.06587,1.02278,0.75507,0.75732,0.77827,0.65702,0.74412,0.74218,0.75628,0.61685,0.62491,1.62104,1.11164,0.98371,0.000171719,0.000171719,0.000171719
3,306.194,0.67189,1.87385,1.48783,0.99167,0.84763,0.79506,0.83906,0.73006,0.8387,0.79076,0.82436,0.68711,0.55638,1.50437,0.77951,0.94252,0.000130774,0.000130774,0.000130774
