epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0724,0.75351,2.46602,4.07909,1.05523,0.07316,0.4938,0.22066,0.1976,0.0669,0.48583,0.21495,0.19135,0.6606,2.46529,3.53798,1.01419,0.000117663,0.000117663,0.000117663
2,91.7695,0.73421,1.99255,2.44197,1.01522,0.72565,0.5695,0.64438,0.53952,0.70731,0.55661,0.62007,0.50949,0.68819,2.10856,1.65517,1.01769,0.00023432,0.00023432,0.00023432
3,137.186,0.7125,1.96118,1.53126,1.00272,0.74144,0.59887,0.69898,0.577,0.73636,0.59193,0.68778,0.54308,0.68523,2.2711,1.49402,1.00408,0.000348621,0.000348621,0.000348621
4,185.857,0.68189,1.90596,1.24304,0.98438,0.74585,0.64008,0.7535,0.62992,0.76787,0.59884,0.72926,0.59179,0.67106,2.12836,1.23712,1.0139,0.000346397,0.000346397,0.000346397
5,237.426,0.66435,1.85272,1.06818,0.9692,0.82771,0.78663,0.85296,0.71934,0.81959,0.77456,0.83358,0.66891,0.60831,2.03151,0.77144,0.95763,0.000342863,0.000342863,0.000342863
6,282.662,0.62735,1.79574,0.94284,0.95536,0.83961,0.76932,0.84545,0.72045,0.82751,0.7534,0.82044,0.6832,0.60688,2.04172,0.97305,0.94253,0.000339329,0.000339329,0.000339329
7,327.056,0.61557,1.7417,0.85353,0.94463,0.90391,0.83899,0.89817,0.76675,0.88744,0.82537,0.87012,0.71946,0.57243,1.83434,0.59683,0.92787,0.000335794,0.000335794,0.000335794
8,371.43,0.60515,1.7418,0.78876,0.94041,0.88244,0.80417,0.86187,0.74635,0.87366,0.79692,0.84818,0.7058,0.57469,1.85737,0.82212,0.93,0.00033226,0.00033226,0.00033226
9,416.233,0.58306,1.66718,0.7236,0.93354,0.91515,0.85151,0.91164,0.79072,0.90441,0.8421,0.88991,0.74786,0.54855,1.82217,0.58712,0.91353,0.000328726,0.000328726,0.000328726
10,460.674,0.58366,1.67585,0.68912,0.93025,0.88534,0.78401,0.86382,0.74282,0.87138,0.77312,0.84388,0.69682,0.56701,1.93651,0.77214,0.9316,0.000325191,0.000325191,0.000325191
